year,stream,screened_valid_power_hours,calendar_year_fraction_pct,gap_gt5_intervals,integration_rule,interpretation_note
2017,BMS,5520.6942,63.0216,135,Adjacent interval contributes only when 0 < dt <= 5 s; dt > 5 s contributes 0 energy (not truncated to 5 s).,"Coverage/quality metric, not hardware availability. 2017 starts in May; 2025 ends in June."
2017,BSC,4061.9917,46.3698,73,Adjacent interval contributes only when 0 < dt <= 5 s; dt > 5 s contributes 0 energy (not truncated to 5 s).,"Coverage/quality metric, not hardware availability. 2017 starts in May; 2025 ends in June."
2018,BMS,8746.2264,99.8428,487,Adjacent interval contributes only when 0 < dt <= 5 s; dt > 5 s contributes 0 energy (not truncated to 5 s).,"Coverage/quality metric, not hardware availability. 2017 starts in May; 2025 ends in June."
2018,BSC,6697.7372,76.4582,279,Adjacent interval contributes only when 0 < dt <= 5 s; dt > 5 s contributes 0 energy (not truncated to 5 s).,"Coverage/quality metric, not hardware availability. 2017 starts in May; 2025 ends in June."
2019,BMS,8578.1925,97.9246,905,Adjacent interval contributes only when 0 < dt <= 5 s; dt > 5 s contributes 0 energy (not truncated to 5 s).,"Coverage/quality metric, not hardware availability. 2017 starts in May; 2025 ends in June."
2019,BSC,7216.0806,82.3753,614,Adjacent interval contributes only when 0 < dt <= 5 s; dt > 5 s contributes 0 energy (not truncated to 5 s).,"Coverage/quality metric, not hardware availability. 2017 starts in May; 2025 ends in June."
2020,BMS,8409.2156,95.7333,7288,Adjacent interval contributes only when 0 < dt <= 5 s; dt > 5 s contributes 0 energy (not truncated to 5 s).,"Coverage/quality metric, not hardware availability. 2017 starts in May; 2025 ends in June."
2020,BSC,6887.6786,78.4116,9230,Adjacent interval contributes only when 0 < dt <= 5 s; dt > 5 s contributes 0 energy (not truncated to 5 s).,"Coverage/quality metric, not hardware availability. 2017 starts in May; 2025 ends in June."
2021,BMS,8426.8867,96.1973,12113,Adjacent interval contributes only when 0 < dt <= 5 s; dt > 5 s contributes 0 energy (not truncated to 5 s).,"Coverage/quality metric, not hardware availability. 2017 starts in May; 2025 ends in June."
2021,BSC,6499.4867,74.1951,4102,Adjacent interval contributes only when 0 < dt <= 5 s; dt > 5 s contributes 0 energy (not truncated to 5 s).,"Coverage/quality metric, not hardware availability. 2017 starts in May; 2025 ends in June."
2022,BMS,8707.44,99.4,76,Adjacent interval contributes only when 0 < dt <= 5 s; dt > 5 s contributes 0 energy (not truncated to 5 s).,"Coverage/quality metric, not hardware availability. 2017 starts in May; 2025 ends in June."
2022,BSC,8707.4539,99.4002,76,Adjacent interval contributes only when 0 < dt <= 5 s; dt > 5 s contributes 0 energy (not truncated to 5 s).,"Coverage/quality metric, not hardware availability. 2017 starts in May; 2025 ends in June."
2023,BMS,8759.0258,99.9889,18,Adjacent interval contributes only when 0 < dt <= 5 s; dt > 5 s contributes 0 energy (not truncated to 5 s).,"Coverage/quality metric, not hardware availability. 2017 starts in May; 2025 ends in June."
2023,BSC,8759.0311,99.9889,18,Adjacent interval contributes only when 0 < dt <= 5 s; dt > 5 s contributes 0 energy (not truncated to 5 s).,"Coverage/quality metric, not hardware availability. 2017 starts in May; 2025 ends in June."
2024,BMS,8783.7483,99.9971,6,Adjacent interval contributes only when 0 < dt <= 5 s; dt > 5 s contributes 0 energy (not truncated to 5 s).,"Coverage/quality metric, not hardware availability. 2017 starts in May; 2025 ends in June."
2024,BSC,8783.7508,99.9972,6,Adjacent interval contributes only when 0 < dt <= 5 s; dt > 5 s contributes 0 energy (not truncated to 5 s).,"Coverage/quality metric, not hardware availability. 2017 starts in May; 2025 ends in June."
2025,BMS,4012.73,45.8074,21,Adjacent interval contributes only when 0 < dt <= 5 s; dt > 5 s contributes 0 energy (not truncated to 5 s).,"Coverage/quality metric, not hardware availability. 2017 starts in May; 2025 ends in June."
2025,BSC,4012.7311,45.8074,21,Adjacent interval contributes only when 0 < dt <= 5 s; dt > 5 s contributes 0 energy (not truncated to 5 s).,"Coverage/quality metric, not hardware availability. 2017 starts in May; 2025 ends in June."
